name,mass,fall,year,reclat,reclong
Nogata,472,Fell,860,33.725,130.75
Elbogen,107000,Fell,1399,50.18333,12.73333
Rivolta de Bassi,103.3,Fell,1490,45.48333,9.51667
Ensisheim,127000,Fell,1491,47.86667,7.35
Campo del Cielo,50000000,Found,1575,-27.46667,-60.58333
Castrovillari,15000,Fell,1583,39.8,16.2
Morito,10100000,Found,1600,27.05,-105.43333
Jalandhar,1967,Fell,1621,31,75
Stretchleigh,10400,Fell,1623,50.38333,-3.95
Hatford,29000,Fell,1628,51.65,-1.51667
Minamino,1040,Fell,1632,35.07833,136.93333
Mount Vaisi,17000,Fell,1637,44.08333,6.86667
Vago,40,Fell,1668,45.41667,11.13333
Ortenau,4500,Fell,1671,48.5,8
Sasagase,695,Fell,1688,34.71667,137.78333
Schellin,7000,Fell,1715,53.35,15.05
Siratik,1700,Found,1716,14,-11
Ploschkovitz,39,Fell,1723,50.53333,14.11667
Steinbach,98000,Found,1724,50.5,12.5
Rasgrad,24700,Fell,1740,43.5,26.53333
Ogi,14360,Fell,1741,33.28333,130.2
Krasnojarsk,700000,Found,1749,54.9,91.8
Hraschina,49000,Fell,1751,46.1,16.33333
Luponnas,14000,Fell,1753,46.21667,5
Tabor,7540,Fell,1753,49.4,14.65
Albareto,2000,Fell,1766,44.65,11.01667
Lucé,3500,Fell,1768,47.85,0.48333
Mauerkirchen,19000,Fell,1768,48.18333,13.13333
Sena,4000,Fell,1773,41.71667,-0.05
Rodach,2900,Fell,1775,50.35,10.8
Toluca,3000000,Found,1776,19.56667,-99.56667
Longchang,158500,Found,1781,29.3,105.3
Bendegó,5360000,Found,1784,-10.11667,-39.2
Sierra Blanca,405,Found,1784,27.15,-104.9
Eichstädt,3000,Fell,1785,48.9,11.21667
Kharkov,1500,Fell,1787,50.625,35.075
Barbotan,6400,Fell,1790,43.95,-0.05
Zacatecas (1792),1000000,Found,1792,22.81667,-102.56667
Cape of Good Hope,136000,Found,1793,-33.5,26
Siena,3700,Fell,1794,43.11667,11.6
Mulletiwu,25.5,Fell,1795,9.33333,80.83333
Wold Cottage,25000,Fell,1795,54.13667,-0.41333
Portugal,4500,Fell,1796,38.5,-8
Bjelaja Zerkov,1850,Fell,1796,49.78333,30.16667
Prambanan,500000,Found,1797,-7.56667,110.83333
Benares (a),3700,Fell,1798,25.36667,82.91667
Salles,9000,Fell,1798,46.05,4.63333
Mauritius,220,Fell,1801,-20,57
Apt,3200,Fell,1803,43.86667,5.38333
Mässing,1600,Fell,1803,48.13333,12.61667
L'Aigle,37000,Fell,1803,48.76667,0.63333
Misteca,10000,Found,1804,16.8,-97.1
