CountryName,CountryCode,Pop
Aruba,ABW,582.3444444
Afghanistan,AFG,53.08340532
Angola,AGO,23.11178551
Albania,ALB,104.9671898
Andorra,AND,164.4276596
Arab World,ARB,29.83924575
United Arab Emirates,ARE,110.8805263
Argentina,ARG,16.0220668
Armenia,ARM,102.7332631
American Samoa,ASM,277.995
Antigua and Barbuda,ATG,229.4613636
Australia,AUS,3.140616612
Austria,AUT,105.9990306
Azerbaijan,AZE,118.0972624
Burundi,BDI,409.8176402
Belgium,BEL,374.7740753
Benin,BEN,96.41981199
Burkina Faso,BFA,68.1521674
Bangladesh,BGD,1251.836521
Bulgaria,BGR,65.65790346
Bahrain,BHR,1848.470817
"Bahamas, The",BHS,39.08411588
Bosnia and Herzegovina,BIH,68.6878125
Belarus,BLR,46.8538761
Belize,BLZ,16.0874178
Bermuda,BMU,1306.62
Bolivia,BOL,10.05066187
Brazil,BRA,24.84438703
Barbados,BRB,662.7813953
Brunei Darussalam,BRN,80.3028463
Bhutan,BTN,20.92937534
Botswana,BWA,3.970603286
Central African Republic,CAF,7.375230344
Canada,CAN,3.990365107
Central Europe and the Baltics,CEB,93.27565273
Switzerland,CHE,211.866029
Channel Islands,CHI,866.0052632
Chile,CHL,24.08740175
China,CHN,146.850662
Cote d'Ivoire,CIV,74.51546855
Cameroon,CMR,49.58471156
"Congo, Dem. Rep.",COD,34.73066452
"Congo, Rep.",COG,15.00972474
Colombia,COL,43.85166201
Comoros,COM,427.5126276
Cabo Verde,CPV,133.8858561
Costa Rica,CRI,95.12875049
Caribbean small states,CSS,17.89668272
Cuba,CUB,110.3247645
Curacao,CUW,360.3581081
Cayman Islands,CYM,253.1875
Cyprus,CYP,126.6369048
Czech Republic,CZE,136.7909986
Germany,DEU,236.9380482
Djibouti,DJI,40.65284728
Dominica,DMA,98.05733333
Denmark,DNK,135.6092471
Dominican Republic,DOM,220.4262265
Algeria,DZA,17.04889491
Ecuador,ECU,65.97305524
"Egypt, Arab Rep.",EGY,96.12605455
Euro area,EMU,127.2858728
Eritrea,ERI,
Spain,ESP,92.84892145
Estonia,EST,31.05640481
Ethiopia,ETH,102.403196
Finland,FIN,18.0825167
Fiji,FJI,49.19321292
France,FRA,122.1719547
Faroe Islands,FRO,35.18409742
"Micronesia, Fed. Sts.",FSM,149.91
Gabon,GAB,7.683416773
United Kingdom,GBR,271.3067375
Georgia,GEO,64.96028552
Ghana,GHA,123.9638217
Gibraltar,GIB,3440.8
Guinea,GIN,50.44735471
"Gambia, The",GMB,201.4329051
Guinea-Bissau,GNB,64.56963016
Equatorial Guinea,GNQ,43.54688057
Greece,GRC,83.37269201
Grenada,GRD,315.6382353
Greenland,GRL,0.136888781
Guatemala,GTM,154.7449515
Guam,GUM,301.6592593
Guyana,GUY,3.928387097
"Hong Kong SAR, China",HKG,6996.857143
Honduras,HND,81.44487443
Croatia,HRV,74.52823445
Haiti,HTI,393.5897678
Hungary,HUN,108.4497736
Indonesia,IDN,144.1376574
Isle of Man,IMN,146.9070175
India,IND,445.3705797
Ireland,IRL,69.28574539
"Iran, Islamic Rep.",IRN,49.28745058
Iraq,IRQ,85.65705471
Iceland,ISL,3.334184539
Israel,ISR,394.9676525
Italy,ITA,206.026348
Jamaica,JAM,266.0530933
Jordan,JOR,106.5082451
Japan,JPN,348.350096
Kazakhstan,KAZ,6.592225803
Kenya,KEN,85.14876305
Kyrgyz Republic,KGZ,31.71376434
Cambodia,KHM,89.29509404
Kiribati,KIR,141.2283951
St. Kitts and Nevis,KNA,210.85
"Korea, Rep.",KOR,525.7048318
